,congressional district,B00001_001E,B06010_003E,B06010_002E,B07010_004E,B07010_005E,B07010_006E,B07010_007E,B07010_008E,B07010_009E,B07010_010E,B07010_011E,B08014_002E,B08014_003E,B08014_004E,B08016_002E,B08101_009E,B08101_017E,B08101_025E,B08101_033E,B09010_002E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B25027_002E,B25027_010E,Year,state
0,1,9453,472879,64755,90479,45221,72690,61006,70835,49645,21524,61479,11234,72691,133816,24895.0,245598,25259,20506,5060,33907,444189,3620,0,60,136142,15436,29087,60681,31267,76081,27048,7136,3074,127346,44971,2018,New Jersey
1,2,10533,486659,76651,96632,49248,85973,62711,64783,47140,19455,60717,12854,56701,133258,71981.0,243963,27700,11079,8075,34838,471336,7148,50,106,152270,20504,28536,62300,33586,73952,23262,5691,3110,125586,60296,2018,New Jersey
2,3,9971,496624,61326,79303,46256,73023,56603,71888,56377,25024,88150,6669,48100,142101,,258829,24012,9828,3896,12703,480684,3270,81,102,139693,14237,31019,61020,32194,103930,39461,11714,6605,146516,64267,2018,New Jersey
3,4,10146,502356,73863,89198,48774,73673,59174,67267,55126,21064,88080,9375,55282,133484,15022.0,245956,31290,11740,5004,30783,485465,4248,0,71,153390,13972,31427,62635,31713,92608,37903,7641,4598,136336,66344,2018,New Jersey
4,5,10209,462475,73211,75646,30960,59272,45735,56454,51085,24296,119027,4638,43775,147532,,239339,20279,24362,5460,9819,459571,2673,35,49,114557,8255,21893,53479,28652,130527,51805,12963,6754,140066,54023,2018,New Jersey
5,6,9125,462087,78832,87255,39321,73222,49199,59640,50587,22546,80317,27054,70113,126482,23882.0,224120,31150,30942,10965,20635,433673,5313,298,106,113226,8539,20887,52339,29114,95945,45881,8491,5523,107792,37304,2018,New Jersey
6,7,9951,467785,73224,68660,30453,54067,47870,59573,51376,27416,128370,6765,52701,150005,,259162,22605,24216,4099,9630,466968,4369,52,258,98560,7630,19258,54587,26343,129572,66644,15523,10887,135654,53588,2018,New Jersey
7,8,8048,438704,93142,81900,41346,71998,58039,52108,41901,20703,70709,26220,86373,109230,,208755,22452,38972,6809,35824,439080,6892,344,47,125317,8352,15546,50882,23408,93864,37896,11671,5373,89624,33878,2018,New Jersey
8,9,7740,458888,91009,61521,45254,73644,56634,65596,55532,23882,76825,24474,103881,123940,,212570,25660,56802,12700,15779,469273,6301,0,59,135731,9156,18904,56464,24299,107542,42577,12490,3894,87582,43192,2018,New Jersey
9,10,7216,409811,86758,93656,44973,65009,56130,56131,39512,14974,39426,37315,91425,84645,48621.0,157684,26876,51978,10699,50770,401729,5744,55,336,119596,13498,19372,57343,28098,62025,20901,5371,2253,67974,20526,2018,New Jersey
